Nom,Niveau,Chemin,X_cm,Y_cm,Z_cm,LenX_cm,LenY_cm,LenZ_cm,Matiere
"Tasseau largeur bas face",4,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / 8 tasseaux tiroir coulissant / Tasseau largeur bas face",4.67,103.3,7.28,1.54,38.0,1.5,""
"Tasseau longueur gauche tiroir",4,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / 8 tasseaux tiroir coulissant / Tasseau longueur gauche tiroir",4.67,141.3,7.28,98.46,1.5,1.5,"Texture Bois Plank"
"Tasseau vertical avant droit",4,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / 8 tasseaux tiroir coulissant / Tasseau vertical avant droit",4.67,101.8,8.78,1.54,1.5,28.0,""
"Tasseau longueur droit tiroir",4,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / 8 tasseaux tiroir coulissant / Tasseau longueur droit tiroir",4.67,101.8,7.28,98.46,1.5,1.5,"Texture Bois Plank"
"Support table extérieur",3,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / Support table extérieur",0.0,102.3,10.78,3.09,40.0,5.0,""
"Partie inférieur support table exterieur",4,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / Support table extérieur / Partie inférieur support table exterieur",1.54,102.3,10.78,1.54,40.0,5.0,"Texture Bois Plank"
"Partie suppérieur support table extérieur",4,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / Support table extérieur / Partie suppérieur support table extérieur",0.0,102.3,10.78,1.54,40.0,5.0,"Texture Bois Plank"
"Glissières",3,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / Glissières",1.33,97.8,14.28,103.3,46.4,5.3,""
"Glissières coulissantes",4,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / Glissières / Glissières coulissantes",1.33,97.8,14.28,103.3,46.4,5.3,"Texture Bois Plank"
"Glissière partie coulissante gauche",5,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / Glissières / Glissières coulissantes / Glissière partie coulissante gauche",1.33,144.3,14.28,103.3,1.2,5.3,""
"Glissière partie coulissante droite",5,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / Glissières / Glissières coulissantes / Glissière partie coulissante droite",1.33,99.1,14.28,103.3,1.2,5.3,""
"5 planches",3,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / 5 planches",3.13,100.3,5.78,101.5,44.0,31.0,""
"Planche bas cuisine",4,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / 5 planches / Planche bas cuisine",4.63,101.8,5.78,98.46,41.0,1.5,""
"Planche fond cuisine",4,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / 5 planches / Planche fond cuisine",107.54,100.3,5.78,1.5,44.0,31.0,""
"Planche droite cuisine",4,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / 5 planches / Planche droite cuisine",4.63,100.3,5.78,98.5,1.5,31.0,""
"Planche gauche cuisine",4,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / 5 planches / Planche gauche cuisine",4.63,142.8,5.78,98.5,1.5,31.0,""
"Planche cuisine face",4,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / 5 planches / Planche cuisine face",3.09,100.3,5.78,1.5,44.0,31.0,""
"Boxio",3,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / Boxio",6.21,102.43,8.78,62.78,40.0,28.0,""
"Boxio gaz",4,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / Boxio / Boxio gaz",6.21,102.43,8.78,30.87,40.0,28.0,""
"Boxio robinet",4,"🛌 Bloc lit peigne / Tiroir coulissant / Tiroir coulissant / Boxio / Boxio robinet",38.12,102.43,8.78,30.87,40.0,28.0,""
"Table extérieur",2,"🛌 Bloc lit peigne / Tiroir coulissant / Table extérieur",-2.62,105.11,3.54,90.0,40.0,1.5,"Capture d’écran 2026-01-02 à 18.21.50"
"Glissières fixes",2,"🛌 Bloc lit peigne / Tiroir coulissant / Glissières fixes",4.59,97.8,14.28,100.0,49.0,5.3,""
